line,regex
L9,"l(i|í)neas? ?(^|\D)9(\D|$)| L ?(^|\D)9(\D|$)"
ML3,"metro ?ligero ?(^|\D)3(\D|$)| ml ?(^|\D)3(\D|$)"
L8,"l(i|í)neas? ?(^|\D)8(\D|$)| L ?(^|\D)8(\D|$)"
ML1,"metro ?ligero ?(^|\D)1(\D|$)| ml ?(^|\D)1(\D|$)"
ML2,"metro ?ligero ?(^|\D)2(\D|$)| ml ?(^|\D)2(\D|$)"
L7,"l(i|í)neas? ?(^|\D)7(\D|$)| L ?(^|\D)7(\D|$)"
L11,"l(i|í)neas? ?(^|\D)11(\D|$)| L ?(^|\D)11(\D|$)"
L5,"l(i|í)neas? ?(^|\D)5(\D|$)| L ?(^|\D)5(\D|$)"
L6,"l(i|í)neas? ?(^|\D)6(\D|$)| L ?(^|\D)6(\D|$)"
L10,"l(i|í)neas? ?(^|\D)10(\D|$)| L ?(^|\D)10(\D|$)"
L3,"l(i|í)neas? ?(^|\D)3(\D|$)| L ?(^|\D)3(\D|$)"
L4,"l(i|í)neas? ?(^|\D)4(\D|$)| L ?(^|\D)4(\D|$)"
L2,"l(i|í)neas? ?(^|\D)2(\D|$)| L ?(^|\D)2(\D|$)"
L12,"l(i|í)neas? ?(^|\D)12(\D|$)| L ?(^|\D)12(\D|$)"
L1,"l(i|í)neas? ?(^|\D)1(\D|$)| L ?(^|\D)1(\D|$)"
R,"l(i|í)neas? ?(^|\D)R(\.|\d|$)| L ?(^|\D)R(\.|\d|$)"
